epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4503,0.97733,3.44718,1.25346,0.5961,0.25079,0.25567,0.19148,0.88786,2.69489,1.17199,0.000193958,0.000193958,0.000193958
2,76.2845,1.02364,2.33283,1.29121,0.55396,0.5328,0.4595,0.343,0.93423,2.10967,1.24994,0.000386098,0.000386098,0.000386098
3,111.623,0.97624,1.97116,1.26156,0.69932,0.4775,0.50265,0.3738,0.92541,2.01326,1.24689,0.000574356,0.000574356,0.000574356
4,147.148,0.99711,1.8165,1.27857,0.52751,0.58817,0.54118,0.40686,0.91442,1.96528,1.23821,0.000570536,0.000570536,0.000570536
5,181.426,0.95903,1.68963,1.25234,0.5851,0.62167,0.58941,0.44644,0.92689,1.72868,1.24787,0.000564715,0.000564715,0.000564715
6,215.596,0.96557,1.54687,1.23022,0.74874,0.57535,0.60526,0.45449,0.91843,1.69341,1.21327,0.000558894,0.000558894,0.000558894
7,249.87,0.93767,1.41873,1.21367,0.66192,0.66389,0.59193,0.44519,0.90023,1.69978,1.1858,0.000553073,0.000553073,0.000553073
8,284.597,0.95059,1.39958,1.22765,0.67104,0.68767,0.64679,0.49157,0.88149,1.5268,1.17272,0.000547252,0.000547252,0.000547252
9,319.416,0.88602,1.3099,1.17759,0.71836,0.71024,0.71296,0.55471,0.85029,1.30121,1.1643,0.00054143,0.00054143,0.00054143
10,355.199,0.90584,1.24642,1.17582,0.62173,0.68693,0.69082,0.53384,0.87472,1.41444,1.15609,0.000535609,0.000535609,0.000535609
11,390.073,0.89946,1.23779,1.17973,0.63193,0.74779,0.73108,0.55944,0.87335,1.30059,1.14574,0.000529788,0.000529788,0.000529788
12,424.815,0.87958,1.17133,1.17113,0.8242,0.70344,0.76597,0.59322,0.85799,1.17972,1.15342,0.000523967,0.000523967,0.000523967
13,460.054,0.88564,1.12181,1.16592,0.67737,0.76371,0.72598,0.56267,0.85823,1.26628,1.14422,0.000518146,0.000518146,0.000518146
14,495.347,0.87799,1.12753,1.17383,0.68886,0.7421,0.68668,0.53017,0.86064,1.27745,1.145,0.000512324,0.000512324,0.000512324
15,532.154,0.84773,1.06376,1.13434,0.62074,0.76319,0.70305,0.54095,0.86304,1.24782,1.14781,0.000506503,0.000506503,0.000506503
16,567.53,0.87196,1.01834,1.15067,0.65826,0.76098,0.72646,0.57036,0.82537,1.08404,1.12781,0.000500682,0.000500682,0.000500682
17,603.04,0.86544,1.07412,1.14437,0.68774,0.72532,0.70825,0.5494,0.847,1.21647,1.13431,0.000494861,0.000494861,0.000494861
18,637.474,0.86783,0.99597,1.16316,0.77004,0.70694,0.71113,0.54904,0.86131,1.1546,1.1437,0.00048904,0.00048904,0.00048904
19,671.316,0.84781,0.98795,1.14709,0.7521,0.71642,0.75832,0.57644,0.88818,1.115,1.15553,0.000483218,0.000483218,0.000483218
20,705.417,0.88017,0.96934,1.15026,0.78652,0.75057,0.73913,0.57473,0.85435,1.04881,1.13599,0.000477397,0.000477397,0.000477397
21,740.766,0.86206,0.95984,1.15182,0.76042,0.74821,0.74436,0.57664,0.81427,1.03289,1.10851,0.000471576,0.000471576,0.000471576
22,776.046,0.84739,0.92529,1.13322,0.68473,0.72834,0.73115,0.56758,0.84398,1.07753,1.12343,0.000465755,0.000465755,0.000465755
23,810.733,0.82785,0.90549,1.1237,0.68713,0.82361,0.72301,0.56772,0.83129,1.03688,1.12642,0.000459934,0.000459934,0.000459934
24,846.783,0.80668,0.90368,1.09756,0.75266,0.73957,0.72495,0.57072,0.82074,1.06209,1.11599,0.000454112,0.000454112,0.000454112
25,882.466,0.82067,0.86671,1.11993,0.65088,0.76127,0.68303,0.53475,0.83381,1.19115,1.12149,0.000448291,0.000448291,0.000448291
26,917.642,0.81897,0.89383,1.12027,0.6864,0.76642,0.73884,0.57822,0.82796,1.0224,1.11248,0.00044247,0.00044247,0.00044247
27,953.562,0.83194,0.89057,1.13467,0.68422,0.79152,0.77205,0.59731,0.84974,0.96978,1.12272,0.000436649,0.000436649,0.000436649
28,989.698,0.81674,0.84384,1.10912,0.69866,0.79187,0.76257,0.59681,0.82337,0.95882,1.1095,0.000430828,0.000430828,0.000430828
29,1024.87,0.80439,0.80539,1.10853,0.69001,0.84538,0.78879,0.61269,0.83903,0.87714,1.12301,0.000425006,0.000425006,0.000425006
30,1060.5,0.80783,0.8261,1.10818,0.68122,0.83859,0.78923,0.61797,0.8423,0.90722,1.11928,0.000419185,0.000419185,0.000419185
31,1095.81,0.76717,0.79849,1.08939,0.67013,0.72202,0.72112,0.55915,0.83776,1.11846,1.11149,0.000413364,0.000413364,0.000413364
32,1130.84,0.78502,0.80845,1.10123,0.74673,0.78554,0.73894,0.58314,0.82014,0.95723,1.11296,0.000407543,0.000407543,0.000407543
33,1166.15,0.78896,0.79796,1.10282,0.68728,0.77849,0.75887,0.5925,0.83593,0.89914,1.1234,0.000401722,0.000401722,0.000401722
34,1201.49,0.77837,0.76747,1.09465,0.73532,0.76076,0.75911,0.59632,0.81351,0.88055,1.10717,0.0003959,0.0003959,0.0003959
35,1236.99,0.77447,0.73999,1.09322,0.72373,0.81608,0.7791,0.60872,0.82431,0.81741,1.11951,0.000390079,0.000390079,0.000390079
36,1272.35,0.76659,0.75105,1.0873,0.72023,0.7614,0.77576,0.60615,0.83635,0.81754,1.12648,0.000384258,0.000384258,0.000384258
37,1307.54,0.74994,0.7203,1.07625,0.71106,0.78901,0.762,0.60179,0.81893,0.88504,1.11928,0.000378437,0.000378437,0.000378437
38,1342.94,0.76632,0.73727,1.08792,0.68706,0.79318,0.76852,0.60999,0.80907,0.81397,1.11008,0.000372616,0.000372616,0.000372616
39,1378.01,0.75703,0.75176,1.08836,0.708,0.78701,0.77207,0.60677,0.81516,0.8288,1.10895,0.000366794,0.000366794,0.000366794
40,1416.36,0.74886,0.71161,1.07613,0.67313,0.81194,0.75351,0.59094,0.81973,0.8963,1.11866,0.000360973,0.000360973,0.000360973
41,1451.55,0.75297,0.69816,1.08273,0.72529,0.81168,0.79035,0.62178,0.81314,0.7721,1.11107,0.000355152,0.000355152,0.000355152
42,1486.98,0.7264,0.67089,1.06011,0.78271,0.75385,0.81157,0.63896,0.80929,0.75584,1.10361,0.000349331,0.000349331,0.000349331
43,1523.77,0.7417,0.68613,1.06724,0.71318,0.83221,0.75489,0.59209,0.81329,0.83983,1.1055,0.00034351,0.00034351,0.00034351
44,1560.69,0.75147,0.70137,1.08566,0.72452,0.80895,0.76571,0.60063,0.80652,0.86656,1.09875,0.000337688,0.000337688,0.000337688
45,1597.43,0.74949,0.67114,1.06909,0.6821,0.77216,0.77703,0.60697,0.82057,0.80451,1.11449,0.000331867,0.000331867,0.000331867
46,1631.67,0.73581,0.65734,1.05618,0.71544,0.83027,0.78912,0.6243,0.80473,0.83159,1.10837,0.000326046,0.000326046,0.000326046
47,1665.47,0.72602,0.67044,1.06388,0.67318,0.8692,0.76025,0.59869,0.81428,0.85657,1.11142,0.000320225,0.000320225,0.000320225
48,1700.25,0.71925,0.66084,1.06224,0.77681,0.78737,0.79389,0.63117,0.80739,0.78478,1.10725,0.000314404,0.000314404,0.000314404
49,1734.65,0.73308,0.6317,1.06476,0.73812,0.80227,0.79196,0.63222,0.78952,0.82044,1.09404,0.000308582,0.000308582,0.000308582
50,1768.26,0.73284,0.6461,1.06552,0.77449,0.73345,0.79374,0.62788,0.8188,0.80034,1.10944,0.000302761,0.000302761,0.000302761
51,1802.03,0.75845,0.63903,1.06797,0.74233,0.77808,0.80685,0.63743,0.81346,0.76741,1.10536,0.00029694,0.00029694,0.00029694
52,1835.79,0.73145,0.62769,1.05863,0.6907,0.79863,0.77567,0.61054,0.82663,0.82758,1.11132,0.000291119,0.000291119,0.000291119
53,1869.59,0.72215,0.63261,1.05862,0.73716,0.77638,0.79985,0.63234,0.7929,0.73998,1.08969,0.000285298,0.000285298,0.000285298
54,1903.52,0.70903,0.61508,1.05106,0.71394,0.82836,0.78395,0.62064,0.80244,0.73612,1.09428,0.000279476,0.000279476,0.000279476
55,1937.37,0.71282,0.61317,1.0661,0.69129,0.85352,0.78318,0.61885,0.79652,0.75048,1.10201,0.000273655,0.000273655,0.000273655
56,1970.88,0.7123,0.61223,1.05306,0.74815,0.79276,0.80353,0.63175,0.81237,0.73564,1.09701,0.000267834,0.000267834,0.000267834
57,2004.43,0.71481,0.6177,1.05589,0.68955,0.82598,0.79633,0.63414,0.79305,0.6983,1.08913,0.000262013,0.000262013,0.000262013
58,2037.84,0.70487,0.59689,1.04881,0.73094,0.77806,0.79272,0.63287,0.78776,0.75469,1.09233,0.000256192,0.000256192,0.000256192
59,2071.11,0.71159,0.59738,1.05372,0.76962,0.7815,0.82069,0.65815,0.79281,0.71087,1.09513,0.00025037,0.00025037,0.00025037
60,2104.32,0.71391,0.59479,1.05828,0.70639,0.83464,0.78485,0.62321,0.79939,0.80438,1.1068,0.000244549,0.000244549,0.000244549
61,2137.65,0.68347,0.59438,1.05345,0.73839,0.79562,0.79951,0.63458,0.80256,0.78049,1.09718,0.000238728,0.000238728,0.000238728
62,2171.02,0.67618,0.55734,1.02589,0.7001,0.80689,0.77427,0.61588,0.79076,0.72649,1.10179,0.000232907,0.000232907,0.000232907
63,2204.33,0.69659,0.57505,1.04333,0.7372,0.84079,0.81051,0.64257,0.79716,0.70352,1.09635,0.000227086,0.000227086,0.000227086
64,2238,0.68677,0.56957,1.04019,0.73952,0.79605,0.82233,0.64857,0.80494,0.69353,1.09589,0.000221264,0.000221264,0.000221264
65,2271.82,0.68829,0.55546,1.03335,0.70845,0.86087,0.81538,0.64734,0.80191,0.72909,1.09346,0.000215443,0.000215443,0.000215443
66,2305.65,0.66629,0.5499,1.02857,0.74918,0.80811,0.80505,0.64214,0.79027,0.69337,1.08954,0.000209622,0.000209622,0.000209622
67,2341.09,0.6674,0.55053,1.029,0.73636,0.81728,0.81495,0.64732,0.79851,0.75191,1.0972,0.000203801,0.000203801,0.000203801
68,2375.6,0.67644,0.54514,1.03955,0.77289,0.76774,0.80715,0.64456,0.79805,0.73387,1.10526,0.00019798,0.00019798,0.00019798
69,2409.39,0.67769,0.53807,1.03615,0.73757,0.8355,0.81213,0.6455,0.79636,0.746,1.10369,0.000192158,0.000192158,0.000192158
70,2443.79,0.66046,0.52666,1.02251,0.73618,0.82486,0.80098,0.63973,0.79321,0.74112,1.10498,0.000186337,0.000186337,0.000186337
71,2479.34,0.66867,0.52354,1.02072,0.73347,0.78788,0.79968,0.63908,0.79954,0.73605,1.09579,0.000180516,0.000180516,0.000180516
72,2514.86,0.66001,0.51463,1.0238,0.71846,0.82036,0.81423,0.64689,0.79065,0.72122,1.09122,0.000174695,0.000174695,0.000174695
73,2549.14,0.65981,0.5275,1.02214,0.73092,0.81718,0.8039,0.64624,0.79183,0.72984,1.09812,0.000168874,0.000168874,0.000168874
74,2583.4,0.63595,0.51502,1.01032,0.71346,0.81898,0.79367,0.63754,0.78636,0.72813,1.09298,0.000163052,0.000163052,0.000163052
75,2617.58,0.65823,0.52475,1.02183,0.86814,0.70625,0.81334,0.65047,0.78961,0.75378,1.09427,0.000157231,0.000157231,0.000157231
76,2651.35,0.65425,0.5191,1.0187,0.71404,0.81257,0.78989,0.62868,0.80096,0.78191,1.10012,0.00015141,0.00015141,0.00015141
77,2685.11,0.65268,0.5194,1.0143,0.70945,0.8408,0.79907,0.63964,0.7906,0.70514,1.09712,0.000145589,0.000145589,0.000145589
78,2719.01,0.6478,0.5143,1.02634,0.74509,0.82845,0.81225,0.65267,0.78639,0.68784,1.0927,0.000139768,0.000139768,0.000139768
79,2753.48,0.64404,0.50243,1.01586,0.70104,0.82301,0.78311,0.62284,0.79118,0.75928,1.10184,0.000133946,0.000133946,0.000133946
